Rating,Player,Salary,Pos,Min,Max,Team,Opp,Proj,Ceiling,Floor,Proj +/-,Pts/Sal,Act,Full,PP,Pro,My,Opp +/-,Bargain,B2B,Rest,Pts,Opp Pts,ML,O/U,ML %,Open ...,PPG,+/-,Consistency,Upside,Duds,Count,PPG_2,Consistency_2,Duds_2,Upside_2,Count_2,G,A,Pts,TOI,Pts/60,S,S Att,Eff S%,S %,BLK,S+Blk,CorsiFor,C Agst,Fnk For,PP G,PP A,PP TOI,PP S,PP SA,PP Eff S%,SH G,SH A,ES G,ES A,PIM,EN G,S Pred,G_2,A_2,Pts_2,TOI_2,Pts/60_2,S_2,S Att_2,Eff S%_2,S %_2,Blk_2,S+Blk_2,Corsi For_2,Corsi Against_2,PP G_2,PP A_2,PP TOI_2,PP S_2,Corsi For_3,S+Blk_3,S_3,Blk_3,S Att_3,PP S Att_2,TOI_3,PP TOI_3,PP G_3,PP A_3,S Att Pred_2,SA,Opp SA Ag,SA Ag,Opp SA,PPs,PP%,Opp PKs,Opp PK%,Opp SA_2,Opp SA A,SA Ag_2,Opp SA_3,PPs_2,PP%_2,Opp PKs_2,Opp PK%_2,Opp SA_4
46.87,Connor McDavid,$8300,C,,,EDM,VAN - T Demko,12.56,15.7,9.4,-1.56,1.5,13,1F,2,11,0,3.5,74%,,,3.9,2.7,-195,6.5,73,-181,19.1,3.5,50%,16%,16%,62,,0%,0%,0%,5,0.57,1.25,1.82,22.7,4.81,3.58,3.56,1.01,0.16,0.45,4.03,19.03,15.31,14.05,0.15,0.48,3.95,0.9,0.9,1,0,0,0.42,0.77,0.33,0.03,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.34,43.15,48.67,44.6,40.95,2.95,0.42,2.97,0.34,,,,,,,,,
39.81,Nazem Kadri,$5200,C,,,COL,CHI - M Fleury,0,0,0,-8.42,,24,1F,2,5,0,1.9,11%,,,3.5,2.6,-182,6,48,-190,8.1,0,30%,7%,43%,71,,0%,0%,0%,6,0.19,0.38,0.57,16.35,2.09,2.98,2.98,1,0.06,0.34,3.33,13.6,10.25,9.75,0.05,0.1,2.49,0.55,0.55,1,0,0,0.14,0.28,0.76,0,2.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.3,51.76,47.98,37.71,39.6,3.29,0.39,2.43,0.33,,,,,,,,,
34.98,Mika Zibanejad,$7500,C,,,NYR,@WAS - V Vanecek,9.65,12.1,7.2,-3,1.3,0,1F,1,4,0,0.3,16%,1A,,3,3,-105,6,60,-101,12.8,1.1,36%,10%,22%,58,,0%,0%,0%,4,0.43,0.46,0.89,20.1,2.66,3.05,3,1.02,0.14,0.79,3.84,9.95,11.75,7.58,0.18,0.07,3.46,1.17,1.17,1,0.04,0.04,0.21,0.36,0.32,0.04,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.58,37.61,40.69,44.15,42.74,3.17,0.28,2.76,0.27,,,,,,,,,
33.37,J.t. Compher,$3900,C,,,COL,CHI - M Fleury,5.19,6.6,3.8,-0.83,1.3,10.5,2F,1,4,0,3.7,2%,,,3.5,2.6,-182,6,48,-190,4.8,1.2,39%,18%,38%,71,,0%,0%,0%,6,0.19,0.16,0.34,14.48,1.41,1.09,1.17,0.93,0.17,0.84,1.93,10.04,8.72,7.44,0.02,0.02,1.04,0.17,0.17,1,0.02,0,0.16,0.14,0.4,0.02,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.3,51.76,47.98,37.71,39.6,3.29,0.39,2.43,0.33,,,,,,,,,
31.34,Pierre-Luc Dubois,$4200,C,,,WPG,@ANA - J Gibson,7.07,8.9,5.2,0.49,1.7,1.5,2F,1,3,0,1.2,89%,,,3,2.6,-140,5.5,75,-130,6,-0.2,26%,10%,38%,65,,0%,0%,0%,4,0.18,0.27,0.45,15.19,1.78,1.71,1.75,0.98,0.1,0.57,2.29,11.55,11.53,8.69,0.02,0.13,1.57,0.4,0.4,1,0,0,0.16,0.14,0.86,0,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.71,40.66,43.9,45.64,43.26,2.73,0.33,2.85,0.3,,,,,,,,,
31.13,R. Nugent-Hopkins,$4900,C,,,EDM,VAN - T Demko,8.51,10.7,6.3,0.65,1.7,7.3,2F,2,5,0,0.3,98%,,,3.9,2.7,-195,6.5,73,-181,9.7,-1.2,25%,11%,37%,62,,0%,0%,0%,5,0.3,0.36,0.66,21.03,1.88,2.66,2.48,1.07,0.11,0.57,3.23,13.43,12.52,9.72,0.16,0.21,3.91,0.73,0.73,1,0,0,0.14,0.14,0.39,0,2.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.34,43.15,48.67,44.6,40.95,2.95,0.42,2.97,0.34,,,,,,,,,
30.94,Ryan Strome,$4600,C,,,NYR,@WAS - V Vanecek,6.72,8.5,4.9,-0.59,1.5,6.5,2F,1,4,0,0.4,95%,1A,,3,3,-105,6,60,-101,9.8,1.2,44%,15%,24%,58,,0%,0%,0%,4,0.25,0.63,0.88,18.27,2.89,2.29,2.22,1.03,0.11,0.32,2.61,11.84,12.22,8.89,0.05,0.27,3.21,0.41,0.41,1,0,0.04,0.2,0.32,0.7,0.04,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.58,37.61,40.69,44.15,42.74,3.17,0.28,2.76,0.27,,,,,,,,,
30.80,John Tavares,$7000,C,,,TOR,MTL - J Allen,8.94,11.2,6.7,-2.79,1.3,6,1F,1,3,0,-1.2,16%,1H,,3.6,2.5,-198,6,69,-175,9.9,0.1,37%,7%,28%,66,,0%,0%,0%,4,0.33,0.54,0.88,17.93,2.94,2.86,2.87,1,0.12,0.49,3.35,13.18,12.42,9.91,0.11,0.11,2.59,0.51,0.51,1,0,0,0.23,0.44,0.25,0,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.33,44.45,39.35,42.32,48.92,2.77,0.26,2.64,0.26,,,,,,,,,
30.48,Paul Stastny,$5500,C,,,WPG,@ANA - J Gibson,5.48,7,4,-3.49,1,6.5,1F,2,2,0,-0.4,0%,,,3,2.6,-140,5.5,75,-130,6.5,0.2,38%,16%,31%,67,,0%,0%,0%,4,0.23,0.27,0.5,17.53,1.71,1.77,1.83,0.97,0.13,0.39,2.16,12.48,12.54,9.11,0.03,0.1,2.66,0.38,0.38,1,0,0,0.19,0.18,0.65,0,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.71,40.66,43.9,45.64,43.26,2.73,0.33,2.85,0.3,,,,,,,,,
29.44,Jason Spezza,$2500,C,,,TOR,MTL - J Allen,2.56,3.3,1.8,-0.89,1,2.8,4F,1,5,0,2.1,94%,1H,,3.6,2.5,-198,6,69,-175,6.4,2.1,51%,27%,33%,66,,0%,0%,0%,4,0.21,0.36,0.57,11.11,3.08,1.52,1.62,0.94,0.14,0.21,1.74,7.93,7.3,6.2,0.02,0.07,1.43,0.31,0.31,1,0,0,0.2,0.3,0.16,0,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.33,44.45,39.35,42.32,48.92,2.77,0.26,2.64,0.26,,,,,,,,,
28.90,Adam Lowry,$2900,C,,,WPG,@ANA - J Gibson,5.31,6.8,3.9,1.13,1.8,1.5,3F,1,3,0,1.2,89%,,,3,2.6,-140,5.5,75,-130,6,1.1,35%,16%,34%,67,,0%,0%,0%,4,0.2,0.27,0.47,15.84,1.78,1.55,1.42,1.09,0.13,0.57,2.12,10.03,11.56,7.49,0,0.03,0.46,0.1,0.1,1,0.03,0,0.17,0.23,0.22,0,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.71,40.66,43.9,45.64,43.26,2.73,0.33,2.85,0.3,,,,,,,,,
28.60,Evgeny Kuznetsov,$5600,C,,,WAS,NYR - I Shesterkin,7.04,8.9,5.2,-2.11,1.3,22.8,1F,1,2,0,0.2,85%,,,3,3,-105,6,40,-109,6.7,0.1,29%,11%,37%,62,,0%,0%,0%,5,0.2,0.48,0.68,16.87,2.42,1.98,1.9,1.04,0.1,0.45,2.43,12.26,11.44,9.56,0.02,0.16,2.8,0.58,0.58,1,0,0,0.18,0.32,0.41,0,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.87,42.74,44.15,40.69,37.61,2.79,0.33,2.79,0.26,,,,,,,,,
28.40,Lars Eller,$4300,C,,,WAS,NYR - I Shesterkin,5.02,6.4,3.6,-1.74,1.2,5.8,2F,2,2,0,0.2,4%,,,3,3,-105,6,40,-109,4.5,0.3,29%,14%,50%,62,,0%,0%,0%,5,0.17,0.35,0.52,16.31,1.91,1.58,1.66,0.95,0.11,0.35,1.94,12.55,10.21,9.36,0,0.08,1.07,0.22,0.22,1,0,0,0.17,0.27,0.44,0.02,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.87,42.74,44.15,40.69,37.61,2.79,0.33,2.79,0.26,,,,,,,,,
28.11,Tyson Jost,$3800,C,,,COL,CHI - M Fleury,4.17,5.3,3,-1.67,1.1,3,3F,,1,0,1.3,9%,,,3.5,2.6,-182,6,48,-190,5.3,1.3,42%,15%,29%,71,,0%,0%,0%,6,0.14,0.19,0.33,14.37,1.38,1.69,1.85,0.91,0.08,0.39,2.08,11.92,9.44,8.81,0.02,0.02,0.37,0.08,0.08,1,0,0,0.13,0.17,0.44,0,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.3,51.76,47.98,37.71,39.6,3.29,0.39,2.43,0.33,,,,,,,,,
26.95,Logan O'Connor,$2500,C,,,COL,CHI - M Fleury,2.4,3.1,1.7,-1.05,1,5.8,4F,,1,0,0.8,74%,,,3.5,2.6,-182,6,48,-190,4.9,0.4,16%,8%,12%,71,,0%,0%,0%,6,0.13,0.08,0.21,10.99,1.15,1.67,1.62,1.03,0.08,0.54,2.21,9.75,6.61,7.38,0,0,0.07,0,0,,0,0,0.13,0.08,0.25,0,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.3,51.76,47.98,37.71,39.6,3.29,0.39,2.43,0.33,,,,,,,,,
26.32,Filip Chytil,$3200,C,,,NYR,@WAS - V Vanecek,5.23,6.7,3.8,0.49,1.6,3,3F,,2,0,-0.2,74%,1A,,3,3,-105,6,60,-101,6,0.8,36%,15%,22%,58,,0%,0%,0%,4,0.19,0.33,0.52,13.23,2.36,1.81,1.72,1.05,0.11,0.45,2.26,10.22,10.37,8.37,0,0,0.62,0.03,0.03,1,0,0,0.19,0.33,0.24,0,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.58,37.61,40.69,44.15,42.74,3.17,0.28,2.76,0.27,,,,,,,,,
25.68,Bo Horvat,$4800,C,,,VAN,@EDM - M Smith,7.55,9.6,5.5,-0.13,1.6,7.1,2F,1,3,0,-0.6,94%,,,2.7,3.9,174,6.5,27,162,9.7,0.2,39%,13%,33%,53,,0%,0%,0%,3,0.34,0.36,0.7,19.89,2.11,2.34,2.37,0.99,0.15,0.68,3.02,13.45,15.25,10.06,0.13,0.07,3.13,0.53,0.53,1,0.02,0,0.2,0.29,0.41,0,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.2,40.95,44.6,48.67,43.15,2.54,0.27,2.63,0.28,,,,,,,,,
25.62,David Kampf,$3000,C,,,TOR,MTL - J Allen,2.94,3.8,2.1,-1.43,1,1.3,3F,,0,0,-0.1,18%,1H,,3.6,2.5,-198,6,69,-175,3.2,-0.4,31%,10%,50%,58,,0%,0%,0%,4,0.02,0.2,0.21,14.67,0.86,1.13,1.11,1.01,0.02,0.25,1.38,9.95,10.8,7.46,0,0,0.03,0,0,,0,0,0.02,0.2,0.36,0,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.33,44.45,39.35,42.32,48.92,2.77,0.26,2.64,0.26,,,,,,,,,
25.08,Alexander Kerfoot,$4100,C,,,TOR,MTL - J Allen,0,0,0,-6.39,,0,2F,,1,0,0.9,7%,1H,,3.6,2.5,-198,6,69,-175,5.6,1.1,50%,25%,30%,66,,0%,0%,0%,4,0.14,0.32,0.46,14.75,1.87,1.25,1.21,1.04,0.11,0.6,1.86,9.71,10.08,7.24,0,0.05,0.72,0.06,0.06,1,0.02,0,0.13,0.27,0.25,0.03,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.33,44.45,39.35,42.32,48.92,2.77,0.26,2.64,0.26,,,,,,,,,
24.69,Kirby Dach,$2800,C,,,CHI,@COL - D Kuemper,4.69,6,3.4,0.69,1.7,10.5,3F,2,4,0,1.8,99%,,,2.6,3.5,162,6,52,169,5.1,0.3,20%,5%,13%,59,,0%,0%,0%,5,0.11,0.44,0.56,18.57,1.81,1.44,1.44,1,0.08,0.67,2.11,10.61,13.67,7.39,0.06,0,3.33,0.22,0.22,1,0,0,0.06,0.44,0.22,0,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.08,39.6,37.71,47.98,51.76,3.2,0.27,3,0.24,,,,,,,,,
23.59,Christian Dvorak,$4000,C,,,MTL,@TOR - J Campbell,5.58,7.1,4.1,-0.63,1.4,11.4,2F,2,3,0,0.4,21%,1A,,2.5,3.6,176,6,31,157,8,0.8,40%,19%,40%,57,,0%,0%,0%,4,0.3,0.25,0.55,18.41,1.79,1.7,1.57,1.08,0.18,0.8,2.5,10.33,11.91,7.8,0.14,0.05,2.63,0.26,0.26,1,0.02,0,0.14,0.2,0.21,0.04,1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.05,48.92,42.32,39.35,44.45,2.24,0.66,2.29,0.38,,,,,,,,,
22.77,Derek Ryan,$3300,C,,,EDM,VAN - T Demko,3.36,4.3,2.5,-1.56,1,4.3,3F,,1,0,0.6,9%,,,3.9,2.7,-195,6.5,73,-181,3.5,0,17%,12%,39%,56,,0%,0%,0%,5,0.05,0.26,0.3,11.89,1.51,0.86,1,0.86,0.05,0.49,1.35,10.1,6.43,7.41,0,0,0.28,0.06,0.06,1,0,0,0.05,0.26,0.37,0,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.34,43.15,48.67,44.6,40.95,2.95,0.42,2.97,0.34,,,,,,,,,
20.35,Ryan McLeod,$2500,C,,,EDM,VAN - T Demko,1,1.3,0.7,-2.45,0.4,0,4F,,0,0,-0.3,80%,,,3.9,2.7,-195,6.5,73,-181,1.7,-0.4,1%,0%,12%,62,,0%,0%,0%,5,0,0.07,0.07,12.07,0.35,0.5,,,0,0.43,0.93,,,,0,0,,,,,0,0,0,0.07,0,0,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.34,43.15,48.67,44.6,40.95,2.95,0.42,2.97,0.34,,,,,,,,,
19.78,Nic Dowd,$2500,C,,,WAS,NYR - I Shesterkin,2.72,3.5,1.9,-0.73,1.1,3,4F,,2,0,1.1,94%,,,3,3,-105,6,40,-109,5,1.2,38%,25%,37%,62,,0%,0%,0%,5,0.21,0.07,0.28,14.52,1.16,1.25,1.33,0.93,0.17,0.74,1.98,9.33,10.7,6.97,0,0,0.12,0,0,,0,0,0.21,0.07,0.54,0.03,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.87,42.74,44.15,40.69,37.61,2.79,0.33,2.79,0.26,,,,,,,,,
18.80,Riley Nash,$2500,C,,,WPG,@ANA - J Gibson,2.03,2.6,1.4,-1.42,0.8,0,4F,,1,0,1.1,74%,,,3,2.6,-140,5.5,75,-130,2.9,0,18%,6%,35%,64,,0%,0%,0%,4,0.05,0.13,0.18,12.46,0.87,1.03,1.03,0.99,0.05,0.56,1.59,7.61,9.29,6,0,0,0.1,0,0,,0,0,0.05,0.13,0.1,0,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.71,40.66,43.9,45.64,43.26,2.73,0.33,2.85,0.3,,,,,,,,,
18.72,Elias Pettersson,$6500,C,,,VAN,@EDM - M Smith,8.72,11,6.4,-2.09,1.3,12,1F,1,3,0,1.5,74%,,,2.7,3.9,174,6.5,27,162,9,-0.2,22%,1%,16%,53,,0%,0%,0%,3,0.38,0.42,0.81,18.57,2.62,2.42,2.31,1.05,0.16,0.35,2.77,10.65,11.39,8.7,0.15,0.04,4.05,0.85,0.85,1,0,0.04,0.23,0.35,0.23,0.04,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.2,40.95,44.6,48.67,43.15,2.54,0.27,2.63,0.28,,,,,,,,,
18.50,Jason Dickinson,$3700,C,,,VAN,@EDM - M Smith,4.07,5.2,2.9,-1.59,1.1,5.6,3F,,1,0,3.5,7%,,,2.7,3.9,174,6.5,27,162,5.2,0.8,35%,20%,22%,59,,0%,0%,0%,3,0.14,0.16,0.29,16.19,1.07,1.29,1.34,0.97,0.11,0.96,2.25,13.14,10.12,9.39,0,0.02,0.12,0.02,0.02,1,0,0,0.14,0.14,0.35,0,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.2,40.95,44.6,48.67,43.15,2.54,0.27,2.63,0.28,,,,,,,,,
18.23,Tyler Johnson,$4700,C,,,CHI,@COL - D Kuemper,3.94,5,2.8,-3.56,0.8,2.6,1F,1,2,0,-0.9,0%,,,2.6,3.5,162,6,52,169,4.9,0.3,38%,15%,36%,83,,0%,0%,0%,5,0.15,0.22,0.37,12.61,1.76,1.42,1.42,1,0.11,0.27,1.69,9.38,9.21,7.19,0.03,0.01,1.33,0.14,0.14,1,0,0,0.13,0.21,0.21,0,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.08,39.6,37.71,47.98,51.76,3.2,0.27,3,0.24,,,,,,,,,
18.20,Hendrix Lapierre,$2500,C,,,WAS,NYR - I Shesterkin,0,0,0,-3.45,,,3F,2,2,0,0.2,74%,,,3,3,-105,6,40,-109,,, , , ,0,,0%,0%,0%,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.87,42.74,44.15,40.69,37.61,2.79,0.33,2.79,0.26,,,,,,,,,
17.73,Ryan Carpenter,$2500,C,,,CHI,@COL - D Kuemper,1.84,2.4,1.3,-1.61,0.7,0,4F,,0,0,0.1,74%,,,2.6,3.5,162,6,52,169,2.9,-0.1,15%,8%,42%,59,,0%,0%,0%,5,0.1,0.03,0.13,12.69,0.61,1.28,1,1.28,0.08,0.43,1.7,7.9,6.87,5.72,0.03,0,1.26,0.13,0.13,1,0.03,0,0.05,0.03,0.48,0,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.08,39.6,37.71,47.98,51.76,3.2,0.27,3,0.24,,,,,,,,,
17.25,Nicholas Suzuki,$5100,C,,,MTL,@TOR - J Campbell,6.69,8.5,4.9,-1.54,1.3,6,1F,1,3,0,0.3,94%,1A,,2.5,3.6,176,6,31,157,9.2,0.6,45%,11%,29%,85,,0%,0%,0%,4,0.28,0.45,0.73,18.39,2.38,2.09,2.13,0.98,0.13,0.73,2.82,12.88,12.55,9.56,0.08,0.15,2.28,0.36,0.36,1,0.01,0.01,0.19,0.28,0.36,0.01,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.05,48.92,42.32,39.35,44.45,2.24,0.66,2.29,0.38,,,,,,,,,
16.42,Kevin Rooney,$2500,C,,,NYR,@WAS - V Vanecek,2.29,3,1.6,-1.16,0.9,1.3,4F,,1,0,0.9,74%,1A,,3,3,-105,6,60,-101,4.5,0.9,39%,20%,34%,58,,0%,0%,0%,4,0.15,0.11,0.26,12.35,1.26,1.15,1.18,0.97,0.13,0.65,1.8,7.15,9.42,5.61,0,0,0.1,0,0,,0.04,0,0.11,0.11,1,0.02,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.58,37.61,40.69,44.15,42.74,3.17,0.28,2.76,0.27,,,,,,,,,
14.94,Juho Lammikko,$2500,C,,,VAN,@EDM - M Smith,1.67,2.2,1.2,-1.78,0.7,2.6,4F,,1,0,0.6,74%,,,2.7,3.9,174,6.5,27,162,2.1,-0.8,13%,8%,65%,58,,0%,0%,0%,3,0.09,0.02,0.12,10.91,0.66,1,1,1,0.09,0.35,1.35,8.02,8.81,6.6,0,0,0.09,0,0,,0.02,0,0.07,0.02,0.23,0,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.2,40.95,44.6,48.67,43.15,2.54,0.27,2.63,0.28,,,,,,,,,
14.81,M. Entwistle,$2500,C,,,CHI,@COL - D Kuemper,1.89,2.4,1.3,-1.56,0.8,0,4F,,0,0,0.1,74%,,,2.6,3.5,162,6,52,169,5,0.1,3%,1%,1%,59,,0%,0%,0%,5,0.2,0.2,0.4,9.82,2.44,1.2,,,0.17,0.4,1.6,,,,0,0,,,,,0,0,0.2,0.2,0.4,0,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.08,39.6,37.71,47.98,51.76,3.2,0.27,3,0.24,,,,,,,,,
14.79,Isac Lundestrom,$3600,C,,,ANA,WPG - C Hellebuyck,3.98,5.1,2.9,-1.49,1.1,14.3,3F,,1,0,0.9,7%,,,2.6,3,126,5.5,25,118,3.4,0,18%,8%,49%,61,,0%,0%,0%,5,0.15,0.07,0.22,15.24,0.87,1.27,1.35,0.94,0.12,0.46,1.73,10.23,11.05,7.68,0,0,0.3,0,0,,0,0,0.15,0.07,0.34,0,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.88,43.26,45.64,43.9,40.66,2.21,0.13,2.7,0.34,,,,,,,,,
