Rating,Player,Salary,Pos,Min,Max,Team,Opp,Proj,Ceiling,Floor,Proj +/-,Pts/Sal,Full,PP,Pro,My,Opp +/-,Bargain,B2B,Rest,Pts,Opp Pts,ML,O/U,ML %,Open ...,PPG,+/-,Consistency,Upside,Duds,Count,PPG_2,Consistency_2,Duds_2,Upside_2,Count_2,G,A,Pts.1,TOI,Pts/60,S,S Att,Eff S%,S %,BLK,S+Blk,CorsiFor,C Agst,Fnk For,PP G,PP A,PP TOI,PP S,PP SA,PP Eff S%,SH G,SH A,ES G,ES A,PIM,EN G,S Pred,G_2,A_2,Pts_2,TOI_2,Pts/60_2,S_2,S Att_2,Eff S%_2,S %_2,Blk_2,S+Blk_2,Corsi For_2,Corsi Against_2,PP G_2,PP A_2,PP TOI_2,PP S_2,Corsi For_3,S+Blk_3,S_3,Blk_3,S Att_3,PP S Att_2,TOI_3,PP TOI_3,PP G_3,PP A_3,S Att Pred_2,SA,Opp SA Ag,SA Ag,Opp SA,PPs,PP%,Opp PKs,Opp PK%,Opp SA_2,Opp SA A,SA Ag_2,Opp SA_3,PPs_2,PP%_2,Opp PKs_2,Opp PK%_2,Opp SA_4,date
92.13,Nathan MacKinnon,$8500,C,,,COL,UTA - K Vejmelka,15.91,19.9,11.9,15.91,1.9,1F,1,9,0,0.2,2%,,,3.8,2.9,-185,6.5,94,-162,18,1.8,72%,22%,17%,58,14.3,33%,0%,0%,3,0.45,1.03,1.49,22.66,3.94,4.1,5.68,0.72,0.11,0.69,4.8,20.72,15.05,14.77,0.01,0.06,4.08,0.92,1.25,0.74,0,0,0.44,0.98,0.51,0.06,2.75,0,2,2,20.78,5.77,2,4,0.5,0,1,3,10,18,0,0,8.07,1,10,3,2,1,4,1,20.78,8.07,0,0,44.66,52.08,45.1,44.17,50.94,2.88,0.03,3.03,0.03,39,,48,,6,0.17,,,,2025-10-09
92.04,Jack Eichel,$7800,C,,,VGK,@SJ - A Nedeljkovic,13.74,17.2,10.3,13.74,1.8,1F,1,10,0,1.9,6%,,,3.9,2.7,-214,6.5,89,-185,13.5,-1.1,65%,26%,25%,91,37,33%,0%,33%,3,0.34,0.88,1.21,20.87,3.48,3,3.96,0.76,0.11,0.75,3.75,16,15.05,11.52,0,0.04,2.86,0.7,0.79,0.89,0,0,0.34,0.83,0.09,0.01,3.72,1,3,4,22.07,10.88,5,6,0.83,0.2,0,5,15,10,0,0,5.07,1,15,5,5,0,6,1,22.07,5.07,0,0,52.43,52.2,52.6,49.21,44.74,2.3,0.02,3.14,0.04,51,,39,,6,0,,,,2025-10-09
86.57,Vincent Trocheck,$5800,C,,,NYR,@BUF - A Lyon,9.63,12.1,7.1,9.63,1.7,1F,1,6,0,1,16%,,,3.4,3.3,-115,6.5,82,-120,10.1,0.1,66%,25%,31%,74,1.3,0%,33%,0%,3,0.31,0.4,0.71,21.01,2.03,2.41,3.9,0.62,0.13,0.95,3.36,15.88,14.47,11.16,0,0.01,2.8,0.52,0.85,0.61,0.01,0,0.3,0.39,0.53,0.01,1.73,0,0,0,20.53,,0,0,,,1,1,14,12,0,0,2.37,0,14,1,0,1,0,0,20.53,2.37,0,0,50.6,47.58,47.15,49.53,46.37,2.51,0.04,2.94,0.03,56,,56,,2,0,,,,2025-10-09
84.58,Brock Nelson,$5100,C,,,COL,UTA - K Vejmelka,8.95,11.3,6.6,8.95,1.8,2F,1,10,0,1.1,11%,,,3.8,2.9,-185,6.5,94,-162,9.4,0.3,65%,24%,32%,86,10.6,33%,0%,0%,3,0.3,0.39,0.7,18.72,2.24,2.36,3.48,0.68,0.13,0.62,2.98,14.8,14.96,10.39,0,0,2.24,0.41,0.63,0.66,0,0,0.3,0.39,0.22,0,2.18,0,1,1,23.25,2.58,2,3,0.67,0,2,4,11,10,0,0,7.75,1,11,4,2,2,3,1,23.25,7.75,0,0,44.66,52.08,45.1,44.17,50.94,2.88,0.03,3.03,0.03,39,,48,,6,0.17,,,,2025-10-09
82.37,Tomas Hertl,$6400,C,,,VGK,@SJ - A Nedeljkovic,9.38,11.8,6.9,9.38,1.5,3F,1,3,0,1.7,4%,,,3.9,2.7,-214,6.5,89,-185,10.6,1.6,57%,32%,28%,91,3,0%,33%,0%,3,0.41,0.36,0.78,17.3,2.71,2.42,3.51,0.69,0.17,0.71,3.13,15.05,12.27,10.73,0.02,0.02,2.69,0.65,0.89,0.73,0,0,0.39,0.34,0.24,0.05,2.17,0,0,0,19.5,,2,3,0.67,0,0,2,13,6,0,0,4.88,1,13,2,2,0,3,1,19.5,4.88,0,0,52.43,52.2,52.6,49.21,44.74,2.3,0.02,3.14,0.04,51,,39,,6,0,,,,2025-10-09
81.98,Sidney Crosby,$7200,C,,,PIT,NYI - I Sorokin,12.4,15.5,9.3,12.4,1.7,1F,1,6,0,1.9,5%,,,2.7,3,110,5.5,19,100,12.9,0.1,71%,36%,23%,77,3,0%,33%,0%,3,0.41,0.72,1.12,20.34,3.3,2.83,4.18,0.68,0.14,0.48,3.31,17.67,16.07,12.7,0.02,0.04,3.17,0.81,1.08,0.74,0,0,0.38,0.68,0.38,0.04,2.47,0,0,0,17.82,,2,3,0.67,0,0,2,17,20,0,0,0.88,0,17,2,2,0,3,0,17.82,0.88,0,0,52.07,48.81,49.68,48.96,49.47,2.66,0.06,2.23,0.03,56,,56,,1,0,,,,2025-10-09
81.09,Connor Bedard,$6000,C,,,CHI,@BOS - J Korpisalo,9.81,12.4,7.3,9.81,1.6,1F,1,7,0,0.2,38%,,,2.5,3.1,135,5.5,21,124,9.9,-1.6,61%,18%,36%,80,3,0%,33%,0%,3,0.28,0.51,0.79,20.21,2.34,2.35,3.61,0.65,0.12,0.44,2.79,13.96,18.63,10.05,0.01,0.02,2.55,0.53,0.74,0.71,0,0,0.27,0.49,0.85,0,2.52,0,0,0,22,,2,6,0.33,0,0,2,11,23,0,0,4.12,1,11,2,2,0,6,2,22,4.12,0,0,46,41,48.44,51.6,43.48,2.33,0.05,2.88,0.03,41,51,58,49,3,0,5,0,49,2025-10-09
80.38,Nick Suzuki,$6100,C,,,MTL,@DET - J Gibson,9.54,12,7,9.54,1.6,1F,1,8,0,-1.4,58%,,,3.1,3.5,114,6.5,6,110,11.1,1.4,69%,30%,29%,84,4.3,0%,50%,0%,2,0.36,0.67,1.03,20.19,3.06,2.14,3.25,0.66,0.17,0.85,2.99,15.86,14.04,11.45,0.02,0.03,3.42,0.46,0.73,0.64,0.01,0,0.33,0.64,0.11,0.02,2.17,0,0,0,20.7,,2,5,0.4,0,1,3,20,10,0,0,3.05,0,20,3,2,1,5,0,20.7,3.05,0,0,48.66,45.98,48.47,49.34,46.36,2.85,0.02,2.28,0.01,49,,47,,2,0,,,,2025-10-09
80.27,Macklin Celebrini,$7300,C,,,SJ,VGK - A Schmid,11.36,14.3,8.4,11.36,1.6,1F,1,6,0,1.3,1%,,,2.7,3.9,177,6.5,11,154,12.6,1.7,65%,25%,15%,85,,0%,0%,0%,3,0.36,0.54,0.9,19.79,2.73,3.37,4.96,0.68,0.11,0.76,4.13,15.09,15.67,10.86,0,0,3.2,0.86,1.32,0.65,0,0,0.36,0.54,0.4,0,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,44.74,49.21,52.6,52.2,2.77,0.02,2.1,0.03,,39,,51,,,1,0,51,2025-10-09
79.03,Mathew Barzal,$5800,C,,,NYI,@PIT - T Jarry,10.33,13,7.7,10.33,1.8,2F,1,10,0,1,50%,,,3,2.7,-132,5.5,81,-120,9.7,0.2,28%,11%,7%,81,,0%,0%,0%,1,0.2,0.47,0.67,20.35,1.98,2.6,3.93,0.66,0.08,0.8,3.4,19.41,14.63,13.78,0,0.03,2.76,0.26,0.48,0.55,0,0,0.2,0.43,0.13,0.07,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.99,49.47,48.96,49.68,48.81,2.56,0.01,2.65,0.03,,56,,56,,,2,0,56,2025-10-09
