Rating,Player,Salary,Pos,Min,Max,Team,Opp,Proj,Ceiling,Floor,Proj +/-,Pts/Sal,Act,Full,PP,Pro,My,Opp +/-,Bargain,B2B,Rest,Pts,Opp Pts,ML,O/U,ML %,Open ...,PPG,+/-,Consistency,Upside,Duds,Count,PPG_2,Consistency_2,Duds_2,Upside_2,Count_2,G,A,Pts,TOI,Pts/60,S,S Att,Eff S%,S %,BLK,S+Blk,CorsiFor,C Agst,Fnk For,PP G,PP A,PP TOI,PP S,PP SA,PP Eff S%,SH G,SH A,ES G,ES A,PIM,EN G,S Pred,G_2,A_2,Pts_2,TOI_2,Pts/60_2,S_2,S Att_2,Eff S%_2,S %_2,Blk_2,S+Blk_2,Corsi For_2,Corsi Against_2,PP G_2,PP A_2,PP TOI_2,PP S_2,Corsi For_3,S+Blk_3,S_3,Blk_3,S Att_3,PP S Att_2,TOI_3,PP TOI_3,PP G_3,PP A_3,S Att Pred_2,SA,Opp SA Ag,SA Ag,Opp SA,PPs,PP%,Opp PKs,Opp PK%,Opp SA_2,Opp SA A,SA Ag_2,Opp SA_3,PPs_2,PP%_2,Opp PKs_2,Opp PK%_2,Opp SA_4
44.73,Darnell Nurse,$6300,D,,,EDM,VAN - T Demko,8.15,10.3,6,-3.08,1.3,25.2,1D,2,5,0,-0.3,4%,,,3.9,2.7,-195,6.5,73,-181,12,1.3,56%,6%,11%,62,,0%,0%,0%,5,0.27,0.35,0.62,26.49,1.4,2.73,2.74,1,0.1,1.83,4.57,21.78,20.43,16.45,0.02,0.1,1.38,0.23,0.23,1,0,0,0.25,0.25,0.98,0.02,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.34,43.15,48.67,44.6,40.95,2.95,0.42,2.97,0.34,,,,,,,,,
43.23,Samuel Girard,$4700,D,,,COL,CHI - M Fleury,6.61,8.4,4.8,-1.39,1.4,11,1D,2,5,0,0.6,15%,,,3.5,2.6,-182,6,48,-190,7.1,0.3,39%,5%,29%,71,,0%,0%,0%,6,0.09,0.55,0.64,23.07,1.66,1.59,1.57,1.01,0.05,1.14,2.72,20.98,14.75,15.16,0,0.17,2.04,0.17,0.17,1,0,0,0.09,0.38,0.31,0,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.3,51.76,47.98,37.71,39.6,3.29,0.39,2.43,0.33,,,,,,,,,
41.84,John Carlson,$6400,D,,,WAS,NYR - I Shesterkin,8.44,10.6,6.3,-2.99,1.3,7.8,1D,1,3,0,0.4,25%,,,3,3,-105,6,40,-109,10.3,-0.6,33%,3%,30%,62,,0%,0%,0%,5,0.19,0.63,0.82,23.98,2.05,2.42,2.32,1.04,0.08,1.3,3.72,15.77,15.57,12.02,0.05,0.25,3.59,0.45,0.45,1,0,0,0.14,0.39,0.28,0,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.87,42.74,44.15,40.69,37.61,2.79,0.33,2.79,0.26,,,,,,,,,
41.51,Tyson Barrie,$5900,D,,,EDM,VAN - T Demko,7.78,9.8,5.7,-2.64,1.3,1.5,1D,1,2,0,-0.3,15%,,,3.9,2.7,-195,6.5,73,-181,10.7,0.6,43%,11%,17%,62,,0%,0%,0%,5,0.13,0.68,0.82,22,2.24,2.67,2.73,0.98,0.05,1.15,3.82,18.38,17.16,13.64,0.07,0.32,3.22,0.42,0.42,1,0,0,0.07,0.37,0.17,0,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.34,43.15,48.67,44.6,40.95,2.95,0.42,2.97,0.34,,,,,,,,,
40.84,Josh Morrissey,$5100,D,,,WPG,@ANA - J Gibson,5.7,7.2,4.2,-3.11,1.1,4.5,1D,2,3,0,0.2,2%,,,3,2.6,-140,5.5,75,-130,8.5,0.7,41%,14%,20%,67,,0%,0%,0%,4,0.08,0.33,0.41,23.91,1.03,2,2.07,0.96,0.04,1.61,3.61,16.02,19.35,12.1,0.02,0.14,2.5,0.41,0.41,1,0,0,0.06,0.19,0.48,0,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.71,40.66,43.9,45.64,43.26,2.73,0.33,2.85,0.3,,,,,,,,,
39.34,Jacob Trouba,$5300,D,,,NYR,@WAS - V Vanecek,6.27,8,4.6,-2.94,1.2,1.5,2D,2,3,0,0.1,2%,1A,,3,3,-105,6,60,-101,6.7,1.1,37%,12%,27%,58,,0%,0%,0%,4,0.05,0.26,0.32,21.49,0.89,1.84,1.86,0.99,0.03,2.21,4.05,15.58,15.81,12.03,0,0.03,1.41,0.21,0.21,1,0,0,0.05,0.24,0.58,0,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.58,37.61,40.69,44.15,42.74,3.17,0.28,2.76,0.27,,,,,,,,,
38.06,Evan Bouchard,$3800,D,,,EDM,VAN - T Demko,6.04,7.7,4.4,-0.14,1.6,2.8,3D,,0,0,-0.6,14%,,,3.9,2.7,-195,6.5,73,-181,3.9,0.4,9%,6%,27%,62,,0%,0%,0%,5,0.14,0.21,0.36,14.83,1.46,2.71,2.67,1.02,0.05,0.79,3.5,13.93,13.07,9.71,0.07,0,0.74,0.08,0.08,1,0,0,0.07,0.21,0.14,0,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.34,43.15,48.67,44.6,40.95,2.95,0.42,2.97,0.34,,,,,,,,,
37.81,Adam Fox,$6100,D,,,NYR,@WAS - V Vanecek,7.34,9.3,5.4,-3.49,1.2,12.3,1D,1,2,0,0.3,25%,1A,,3,3,-105,6,60,-101,11,0.3,41%,6%,25%,58,,0%,0%,0%,4,0.09,0.76,0.85,24.71,2.06,1.85,1.78,1.04,0.05,1.85,3.71,14.74,14.59,11.35,0.04,0.36,3.51,0.4,0.4,1,0.02,0.02,0.04,0.38,0.25,0,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.58,37.61,40.69,44.15,42.74,3.17,0.28,2.76,0.27,,,,,,,,,
32.91,Dmitry Orlov,$4300,D,,,WAS,NYR - I Shesterkin,4.77,6.1,3.5,-2.42,1.1,8.4,2D,2,2,0,0.3,7%,,,3,3,-105,6,40,-109,6.4,1.6,38%,22%,38%,62,,0%,0%,0%,5,0.14,0.3,0.45,20.14,1.34,1.7,1.82,0.93,0.08,1.05,2.75,16.38,15.33,12.49,0,0.04,0.72,0.18,0.18,1,0,0,0.14,0.27,0.46,0,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.87,42.74,44.15,40.69,37.61,2.79,0.33,2.79,0.26,,,,,,,,,
32.89,Duncan Keith,$4600,D,,,EDM,VAN - T Demko,6.29,8,4.6,-1.51,1.4,1.3,2D,,1,0,0.3,6%,,,3.9,2.7,-195,6.5,73,-181,7.3,-0.2,40%,5%,20%,59,,0%,0%,0%,5,0.07,0.2,0.28,23.41,0.72,2.04,2.02,1.01,0.04,1.69,3.72,14.52,17.85,10.63,0.02,0.09,2.51,0.35,0.35,1,0,0,0.06,0.11,0.56,0,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.34,43.15,48.67,44.6,40.95,2.95,0.42,2.97,0.34,,,,,,,,,
31.91,Nate Schmidt,$3700,D,,,WPG,@ANA - J Gibson,6.9,8.7,5.1,0.92,1.9,5.8,1D,2,2,0,0.2,20%,,,3,2.6,-140,5.5,75,-130,6.1,-0.4,37%,9%,33%,54,,0%,0%,0%,4,0.09,0.19,0.28,20.1,0.84,1.41,1.32,1.07,0.07,1.33,2.74,14.04,17.59,10.86,0,0,0.96,0.15,0.15,1,0,0.02,0.09,0.17,0.07,0,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.71,40.66,43.9,45.64,43.26,2.73,0.33,2.85,0.3,,,,,,,,,
29.71,Jeff Petry,$5600,D,,,MTL,@TOR - J Campbell,6.27,7.9,4.6,-3.55,1.1,5.8,1D,1,1,0,-0.3,7%,1A,,2.5,3.6,176,6,31,157,8.8,-1,36%,5%,28%,84,,0%,0%,0%,4,0.16,0.48,0.64,23.09,1.66,2.19,2.15,1.02,0.07,1.21,3.4,17.69,14.53,13.08,0.05,0.16,1.99,0.27,0.27,1,0,0.01,0.11,0.31,0.35,0.01,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.05,48.92,42.32,39.35,44.45,2.24,0.66,2.29,0.38,,,,,,,,,
29.53,Tyler Myers,$4400,D,,,VAN,@EDM - M Smith,5.08,6.5,3.7,-2.31,1.2,8.4,1D,,1,0,0.4,4%,,,2.7,3.9,174,6.5,27,162,7.1,0.2,35%,11%,28%,53,,0%,0%,0%,3,0.11,0.27,0.38,22.08,1.03,1.98,2.05,0.97,0.06,1.35,3.33,14.74,17.47,11,0,0.05,1.02,0.21,0.21,1,0.02,0.02,0.09,0.2,0.93,0,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.2,40.95,44.6,48.67,43.15,2.54,0.27,2.63,0.28,,,,,,,,,
29.39,Oliver Ekman-Larsson,$4900,D,,,VAN,@EDM - M Smith,5.43,6.9,4,-2.97,1.1,14.5,1D,2,2,0,0.4,8%,,,2.7,3.9,174,6.5,27,162,6.7,-0.4,30%,10%,28%,56,,0%,0%,0%,3,0.07,0.46,0.52,20.97,1.49,1.8,1.8,1,0.04,0.57,2.37,13.23,14.45,9.86,0.04,0.26,2.37,0.41,0.41,1,0,0,0.02,0.2,0.7,0,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.2,40.95,44.6,48.67,43.15,2.54,0.27,2.63,0.28,,,,,,,,,
29.34,Hampus Lindholm,$4500,D,,,ANA,WPG - C Hellebuyck,4.95,6.3,3.6,-2.65,1.1,8.2,1D,,0,0,-0.6,4%,,,2.6,3,126,5.5,25,118,5.1,-0.3,9%,1%,14%,61,,0%,0%,0%,5,0.11,0.22,0.33,22.03,0.9,1.61,1.43,1.13,0.07,1.06,2.67,17.18,17.06,12.94,0,0.06,1.02,0.14,0.14,1,0,0,0.11,0.17,0.89,0.06,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.88,43.26,45.64,43.9,40.66,2.21,0.13,2.7,0.34,,,,,,,,,
29.03,Justin Schultz,$4100,D,,,WAS,NYR - I Shesterkin,5.12,6.5,3.7,-1.67,1.2,20.5,3D,2,2,0,0.5,14%,,,3,3,-105,6,40,-109,6,0.8,37%,12%,33%,62,,0%,0%,0%,5,0.06,0.47,0.53,19.36,1.64,1.37,1.3,1.05,0.04,1.16,2.53,14.92,15.36,11.12,0,0.16,1.64,0.21,0.21,1,0,0,0.06,0.31,0.24,0,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.87,42.74,44.15,40.69,37.61,2.79,0.33,2.79,0.26,,,,,,,,,
28.61,Kevin Shattenkirk,$3600,D,,,ANA,WPG - C Hellebuyck,4.74,6,3.5,-1.04,1.3,18.2,3D,2,2,0,0.7,15%,,,2.6,3,126,5.5,25,118,5.6,-0.4,31%,8%,27%,61,,0%,0%,0%,5,0.04,0.24,0.27,21.21,0.76,1.69,1.7,0.99,0.02,1.05,2.75,16.48,15.31,12.15,0.02,0.07,2.14,0.45,0.45,1,0,0,0.02,0.16,0.51,0,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.88,43.26,45.64,43.9,40.66,2.21,0.13,2.7,0.34,,,,,,,,,
