Rating,Player,Salary,Pos,Min,Max,Team,Opp,Proj,Ceiling,Floor,Proj +/-,Pts/Sal,Act,Full,Pro,My,Opp +/-,Bargain,B2B,Pts,Opp Pts,ML,O/U,ML %,Open ...,PPG,+/-,Consistency,Upside,Duds,Count,PPG_2,Consistency_2,Duds_2,Upside_2,Count_2,Sv Pred,SV,G,S,Wins,Loss,Min,SO,SV_2,GA,Wins_2,Opp S Att Pred,Opp G,Opp S,SA Ag,Opp SA,PKs,PK%,Opp PPs,Opp PP%,Opp G_2,Opp S_2,SA Ag_2,Opp SA_2,PKs_2,PK%_2,Opp PPs_2,Opp PP%_2,Opp G_2,Opp S_2,Opp SA_2
58.39,Jack Campbell,$8100,G,,,TOR,MTL - J Allen,11.99,15,9,-2.36,1.5,24.2,1G,3,0,0.7,80%,1H,3.6,2.5,-198,6,69,-175,8.2,0.3,21%,4%,50%,66,,0%,0%,0%,4,26.56,24.9,2.03,26.97,0.69,0.24,58.69,0.1,,,,,46.05,2.68,30.64,42.32,48.92,2.29,0.38,2.24,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.05,Darcy Kuemper,$8300,G,,,COL,CHI - M Fleury,11.94,14.9,8.9,-2.94,1.4,21.4,1G,4,0,-1.5,91%,,3.5,2.6,-182,6,48,-190,7.5,-1.3,15%,3%,32%,59,,0%,0%,0%,6,23.07,23.9,2.44,26.3,0.37,0.41,56.93,0.07,,,,,39.08,2.88,29.11,37.71,39.6,3,0.24,3.2,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.98,Mike Smith,$8000,G,,,EDM,VAN - T Demko,12.13,15.2,9.1,-1.95,1.5,27.2,1G,5,0,14.4,28%,,3.9,2.7,-195,6.5,73,-181,11.6,1,33%,9%,31%,63,,0%,0%,0%,5,27.86,27.1,2.23,29.29,0.6,0.26,59.34,0.09,,,,,43.2,2.7,29.09,44.6,40.95,2.63,0.28,2.54,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.21,Connor Hellebuyck,$7900,G,,,WPG,@ANA - J Gibson,14.33,17.9,10.7,0.51,1.8,-1.4,1G,1,0,-1.3,95%,,3,2.6,-140,5.5,75,-130,12.6,1.6,40%,11%,31%,67,,0%,0%,0%,4,25.45,28.2,2.49,30.64,0.53,0.4,58.83,0.09,,,,,44.88,2.18,26.39,45.64,43.26,2.7,0.34,2.21,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.38,Vitek Vanecek,$7700,G,,,WAS,NYR - I Shesterkin,7.25,9.2,5.3,-6.04,0.9,18.6,1G,1,0,-4.8,80%,,3,3,-105,6,40,-109,8.4,0.2,27%,0%,50%,62,,0%,0%,0%,5,25.06,24.7,2.53,27.24,0.53,0.26,55.63,0.05,,,,,39.58,3.16,28.64,40.69,37.61,2.76,0.27,3.17,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.42,Igor Shesterkin,$7600,G,,,NYR,@WAS - V Vanecek,0,0,0,-13.02,,0,2G,1,0,-2.3,94%,1A,3,3,-105,6,60,-101,9.8,0.7,29%,5%,39%,58,,0%,0%,0%,4,27.01,25.8,2.37,28.2,0.46,0.4,53.77,0.06,,,,,43.87,3.11,29.51,44.15,42.74,2.79,0.26,2.79,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.50,John Gibson,$7200,G,,,ANA,WPG - C Hellebuyck,6.49,8.2,4.7,-5.47,0.9,25.6,1G,0,0,0,28%,,2.6,3,126,5.5,25,118,7.6,-2,22%,9%,47%,61,,0%,0%,0%,5,27.64,26.9,2.89,29.77,0.26,0.54,57.66,0.09,,,,,42.71,2.97,29.72,43.9,40.66,2.85,0.3,2.73,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.83,Marc-Andre Fleury,$7500,G,,,CHI,@COL - D Kuemper,6.86,8.7,5,-5.9,0.9,8.4,1G,3,0,0.2,37%,,2.6,3.5,162,6,52,169,10,0,31%,5%,49%,89,,0%,0%,0%,5,35.16,24.8,2,26.77,0.67,0.33,59.58,0.13,,,,,50.3,3.6,34.05,47.98,51.76,2.43,0.33,3.29,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.76,Jake Allen,$7300,G,,,MTL,@TOR - J Campbell,5.34,6.8,3.9,-6.89,0.7,12.6,1G,0,0,-0.7,88%,1A,2.5,3.6,176,6,31,157,3.6,-0.7,9%,0%,72%,86,,0%,0%,0%,4,28.15,25.6,2.62,28.17,0.38,0.41,58.31,0,,,,,42.33,3.25,31.54,39.35,44.45,2.64,0.26,2.77,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.35,Thatcher Demko,$7400,G,,,VAN,@EDM - M Smith,7.89,9.9,5.8,-4.6,1.1,17.4,1G,0,0,-1.2,28%,,2.7,3.9,174,6.5,27,162,8.9,1.2,32%,13%,56%,53,,0%,0%,0%,3,31.28,30.4,2.83,33.26,0.46,0.51,59.17,0.03,,,,,46.34,3.19,30.63,48.67,43.15,2.97,0.34,2.95,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
