Rating,Player,Salary,Pos,Min,Max,Team,Opp,Proj,Ceiling,Floor,Proj +/-,Pts/Sal,Act,Full,PP,Pro,My,Opp +/-,Bargain,B2B,Rest,Pts,Opp Pts,ML,O/U,ML %,Open ...,PPG,+/-,Consistency,Upside,Duds,Count,PPG_2,Consistency_2,Duds_2,Upside_2,Count_2,G,A,Pts,TOI,Pts/60,S,S Att,Eff S%,S %,BLK,S+Blk,CorsiFor,C Agst,Fnk For,PP G,PP A,PP TOI,PP S,PP SA,PP Eff S%,SH G,SH A,ES G,ES A,PIM,EN G,S Pred,G_2,A_2,Pts_2,TOI_2,Pts/60_2,S_2,S Att_2,Eff S%_2,S %_2,Blk_2,S+Blk_2,Corsi For_2,Corsi Against_2,PP G_2,PP A_2,PP TOI_2,PP S_2,Corsi For_3,S+Blk_3,S_3,Blk_3,S Att_3,PP S Att_2,TOI_3,PP TOI_3,PP G_3,PP A_3,S Att Pred_2,SA,Opp SA Ag,SA Ag,Opp SA,PPs,PP%,Opp PKs,Opp PK%,Opp SA_2,Opp SA A,SA Ag_2,Opp SA_3,PPs_2,PP%_2,Opp PKs_2,Opp PK%_2,Opp SA_4
46.67,Gabriel Landeskog,$6600,W,,,COL,CHI - M Fleury,9.39,11.9,6.9,-2.07,1.4,19.5,1F,1,7,0,2.2,71%,,,3.5,2.6,-182,6,48,-190,11.6,0.2,33%,14%,22%,71,,0%,0%,0%,6,0.38,0.64,1.02,20.04,3.05,2.78,2.75,1.01,0.13,0.59,3.38,17.02,11.1,12.22,0.16,0.13,3.79,0.74,0.74,1,0,0,0.22,0.52,0.67,0,2.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.3,51.76,47.98,37.71,39.6,3.29,0.39,2.43,0.33,,,,,,,,,
46.61,Leon Draisaitl,$7700,W,,,EDM,VAN - T Demko,11.91,14.9,8.9,-1.63,1.5,8,1F,2,10,0,-0.6,93%,,,3.9,2.7,-195,6.5,73,-181,15,0.9,41%,11%,25%,62,,0%,0%,0%,5,0.55,0.93,1.48,22.84,3.89,3.2,3.28,0.98,0.17,0.23,3.43,16.81,15.45,12.55,0.27,0.3,4,1.4,1.4,1,0.02,0,0.27,0.63,0.4,0.03,3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.34,43.15,48.67,44.6,40.95,2.95,0.42,2.97,0.34,,,,,,,,,
46.08,Alex Ovechkin,$7200,W,,,WAS,NYR - I Shesterkin,10.86,13.6,8.1,-1.74,1.5,37.8,1F,1,7,0,-1.3,88%,,,3,3,-105,6,40,-109,12.1,-0.7,33%,1%,27%,62,,0%,0%,0%,5,0.53,0.41,0.94,20.12,2.8,4.1,4.19,0.98,0.13,0.51,4.61,13.42,14.27,9.92,0.22,0.18,4.8,1.44,1.44,1,0,0,0.31,0.22,0.29,0,3.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.87,42.74,44.15,40.69,37.61,2.79,0.33,2.79,0.26,,,,,,,,,
45.21,Zach Hyman,$5900,W,,,EDM,VAN - T Demko,8.04,10.1,5.9,-2.1,1.4,14.3,2F,1,5,0,1.2,10%,,,3.9,2.7,-195,6.5,73,-181,8.3,1,35%,13%,35%,67,,0%,0%,0%,5,0.32,0.36,0.68,19.85,2.06,2.8,2.83,0.99,0.11,0.5,3.3,14.63,13.18,11.33,0.06,0.02,1.82,0.28,0.28,1,0,0,0.26,0.34,0.64,0.04,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.34,43.15,48.67,44.6,40.95,2.95,0.42,2.97,0.34,,,,,,,,,
44.48,Mitchell Marner,$6900,W,,,TOR,MTL - J Allen,9.84,12.4,7.3,-2.19,1.4,11,1F,1,5,0,-2.8,88%,1H,,3.6,2.5,-198,6,69,-175,13.2,-0.5,39%,7%,22%,66,,0%,0%,0%,4,0.32,0.82,1.15,22.69,3.04,2.82,2.94,0.96,0.11,0.76,3.58,14.56,13.51,11.15,0,0.23,3.31,0.48,0.48,1,0,0.03,0.32,0.56,0.39,0.05,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.33,44.45,39.35,42.32,48.92,2.77,0.26,2.64,0.26,,,,,,,,,
44.41,Mikko Rantanen,$7500,W,,,COL,CHI - M Fleury,11.43,14.3,8.5,-1.74,1.5,9.3,1F,1,5,0,2.5,83%,,,3.5,2.6,-182,6,48,-190,13.9,1.1,46%,7%,21%,71,,0%,0%,0%,6,0.56,0.71,1.27,20.15,3.78,3.37,3.31,1.02,0.17,0.37,3.74,17.92,11.03,12.74,0.19,0.29,3.66,1.14,1.14,1,0,0,0.37,0.42,0.61,0.05,3.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.3,51.76,47.98,37.71,39.6,3.29,0.39,2.43,0.33,,,,,,,,,
43.37,Jesse Puljujarvi,$4400,W,,,EDM,VAN - T Demko,6.18,7.8,4.5,-1.13,1.4,20.5,1F,2,5,0,1.6,8%,,,3.9,2.7,-195,6.5,73,-181,7.3,0.4,43%,12%,37%,62,,0%,0%,0%,5,0.27,0.19,0.46,15.57,1.77,2.2,2.13,1.04,0.12,0.41,2.61,14.28,12.51,10.61,0.03,0.03,1.06,0.2,0.2,1,0,0,0.24,0.15,0.27,0.02,2.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.34,43.15,48.67,44.6,40.95,2.95,0.42,2.97,0.34,,,,,,,,,
41.02,Nikolaj Ehlers,$6500,W,,,WPG,@ANA - J Gibson,8.86,11.1,6.6,-2.42,1.4,15,2F,2,4,0,-0.1,19%,,,3,2.6,-140,5.5,75,-130,10,0.6,40%,8%,35%,67,,0%,0%,0%,4,0.43,0.49,0.92,17.23,3.2,3.11,3.02,1.03,0.14,0.23,3.34,14.04,13.15,9.96,0.13,0.13,1.65,0.81,0.81,1,0,0,0.3,0.36,0.32,0,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.71,40.66,43.9,45.64,43.26,2.73,0.33,2.85,0.3,,,,,,,,,
38.85,Valeri Nichushkin,$3800,W,,,COL,CHI - M Fleury,4.89,6.2,3.6,-1.28,1.3,9.5,2F,2,4,0,3.5,12%,,,3.5,2.6,-182,6,48,-190,6.4,1.7,42%,25%,23%,71,,0%,0%,0%,6,0.17,0.2,0.37,14.32,1.55,1.97,2.19,0.9,0.09,0.63,2.6,13.14,9.06,9.59,0.02,0.02,0.74,0.09,0.09,1,0.02,0,0.14,0.18,0.22,0.02,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.3,51.76,47.98,37.71,39.6,3.29,0.39,2.43,0.33,,,,,,,,,
37.70,Chris Kreider,$4800,W,,,NYR,@WAS - V Vanecek,6.77,8.6,5,-1.29,1.4,10,1F,1,4,0,0.9,83%,1A,,3,3,-105,6,60,-101,8.1,0.1,31%,12%,48%,58,,0%,0%,0%,4,0.4,0.2,0.6,17.4,2.07,2.04,2.02,1.01,0.2,0.7,2.74,10.61,11.08,8.06,0.2,0.06,3.48,0.75,0.75,1,0,0,0.2,0.14,0.68,0.02,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.58,37.61,40.69,44.15,42.74,3.17,0.28,2.76,0.27,,,,,,,,,
