Rating,Player,Salary,Pos,Min,Max,Team,Opp,Proj,Ceiling,Floor,Proj +/-,Pts/Sal,Full,PP,Pro,My,Opp +/-,Bargain,B2B,Rest,Pts,Opp Pts,ML,O/U,ML %,Open ...,PPG,+/-,Consistency,Upside,Duds,Count,PPG_2,Consistency_2,Duds_2,Upside_2,Count_2,G,A,Pts.1,TOI,Pts/60,S,S Att,Eff S%,S %,BLK,S+Blk,CorsiFor,C Agst,Fnk For,PP G,PP A,PP TOI,PP S,PP SA,PP Eff S%,SH G,SH A,ES G,ES A,PIM,EN G,S Pred,G_2,A_2,Pts_2,TOI_2,Pts/60_2,S_2,S Att_2,Eff S%_2,S %_2,Blk_2,S+Blk_2,Corsi For_2,Corsi Against_2,PP G_2,PP A_2,PP TOI_2,PP S_2,Corsi For_3,S+Blk_3,S_3,Blk_3,S Att_3,PP S Att_2,TOI_3,PP TOI_3,PP G_3,PP A_3,S Att Pred_2,SA,Opp SA Ag,SA Ag,Opp SA,PPs,PP%,Opp PKs,Opp PK%,Opp SA_2,Opp SA A,SA Ag_2,Opp SA_3,PPs_2,PP%_2,Opp PKs_2,Opp PK%_2,Opp SA_4,date
88.05,Sam Reinhart,$7300,W,,,FLA,PHI - D.Vladar,12.25,15.3,9.2,12.25,1.7,2F,1,9,0,0.4,7%,,,3.4,2.3,-225,5.5,94,-245,12.1,-0.8,73%,27%,18%,87,3.6,33%,33%,0%,3,0.49,0.53,1.02,20.69,2.96,2.75,4.36,0.63,0.18,0.87,3.62,15.81,12.14,11.47,0,0.01,3.24,0.63,1.01,0.62,0.01,0,0.48,0.52,0.33,0.05,2.52,0,0,0,18.23,,3,4,0.75,0,2,5,15,13,0,0,2.35,1,15,5,3,2,4,2,18.23,2.35,0,0,52.67,51.87,48.54,43.13,45.65,2.93,0.03,2.49,0.04,58,,41,,2,0,,,,2025-10-09
87.15,Mitch Marner,$6900,W,,,VGK,@SJ - A.Nedeljkovic,11.49,14.4,8.6,11.49,1.7,1F,1,6,0,2,16%,,,3.9,2.7,-214,6.5,89,-185,12.3,-0.1,77%,28%,19%,92,15.8,33%,0%,33%,3,0.31,0.92,1.22,21.37,3.43,2.02,3.08,0.66,0.15,0.6,2.62,13.99,15.09,10.09,0,0.07,3.16,0.39,0.61,0.63,0.01,0.01,0.29,0.83,0.17,0.02,2.89,0,2,2,22.8,5.26,3,4,0.75,0,1,4,13,9,0,0,4.87,1,13,4,3,1,4,1,22.8,4.87,0,0,52.43,52.2,52.6,49.21,44.74,2.3,0.02,3.14,0.04,51,,39,,6,0,,,,2025-10-09
86.76,Artemi Panarin,$7500,W,,,NYR,@BUF - A.Lyon,12.21,15.3,9.1,12.21,1.6,1F,1,8,0,1.6,3%,,,3.4,3.3,-115,6.5,82,-120,12.7,-1.3,60%,29%,33%,74,3,0%,33%,0%,3,0.46,0.64,1.1,19.62,3.36,2.95,4.88,0.61,0.15,0.14,3.09,16.63,14.53,12.17,0.02,0.04,3.2,0.74,1.33,0.55,0,0,0.43,0.6,0.2,0.05,2.49,0,0,0,20.78,,2,3,0.67,0,0,2,17,10,0,0,2.97,1,17,2,2,0,3,1,20.78,2.97,0,0,50.6,47.58,47.15,49.53,46.37,2.51,0.04,2.94,0.03,56,,56,,2,0,,,,2025-10-09
84.98,Pavel Dorofeyev,$5900,W,,,VGK,@SJ - A.Nedeljkovic,10.46,13.1,7.8,10.46,1.8,3F,1,23,0,2.5,4%,,,3.9,2.7,-214,6.5,89,-185,11,1.8,73%,29%,20%,91,43.3,33%,0%,33%,3,0.43,0.2,0.63,16.65,2.27,3.14,4.33,0.73,0.14,0.45,3.59,14.7,11.96,10.88,0.01,0,2.22,0.7,0.98,0.72,0,0,0.42,0.2,0.35,0,3.29,3,0,3,20.23,8.9,5,6,0.83,0.6,1,6,14,7,0,0,5.25,3,14,6,5,1,6,3,20.23,5.25,0,0,52.43,52.2,52.6,49.21,44.74,2.3,0.02,3.14,0.04,51,,39,,6,0,,,,2025-10-09
83.76,Mika Zibanejad,$6500,W,,,NYR,@BUF - A.Lyon,9.46,11.9,7,9.46,1.5,2F,1,24,0,1.6,1%,,,3.4,3.3,-115,6.5,82,-120,9.1,-0.8,60%,22%,36%,74,14.8,33%,0%,33%,3,0.24,0.51,0.75,18.74,2.4,2.29,3.84,0.6,0.11,0.57,2.86,12.27,13.74,9.04,0.01,0.04,2.92,0.76,1.24,0.61,0,0.01,0.23,0.46,0.27,0.01,3.83,0,0,0,20.07,,7,10,0.7,0,1,8,21,19,0,0,3.08,1,21,8,7,1,10,1,20.07,3.08,0,0,50.6,47.58,47.15,49.53,46.37,2.51,0.04,2.94,0.03,56,,56,,2,0,,,,2025-10-09
83.13,Kirill Kaprizov,$8000,W,,,MIN,@STL - J.Binnington,13.74,17.2,10.3,13.74,1.7,1F,1,9,0,1,4%,,,2.7,2.9,105,5.5,34,-110,16.6,0.3,36%,18%,19%,88,,0%,0%,0%,1,0.64,0.74,1.38,22.55,3.67,3.55,4.79,0.74,0.18,0.57,4.13,18.57,16.36,12.93,0,0.04,3.38,1.21,1.67,0.72,0,0,0.64,0.7,0.43,0.15,3.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.58,46.83,47.48,51.6,44.93,2.49,0.02,2.41,0.04,,,,,,,,,,2025-10-09
82.34,Matt Boldy,$6800,W,,,MIN,@STL - J.Binnington,11.57,14.5,8.6,11.57,1.7,1F,1,7,0,1,5%,,,2.7,2.9,105,5.5,34,-110,12.7,0,79%,31%,19%,89,,0%,0%,0%,1,0.36,0.55,0.91,20.61,2.65,3.31,5.11,0.65,0.11,0.84,4.15,15.91,15.09,11.56,0,0.02,3.21,0.86,1.18,0.73,0,0,0.36,0.52,0.6,0.03,2.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.58,46.83,47.48,51.6,44.93,2.49,0.02,2.41,0.04,,,,,,,,,,2025-10-09
82.28,Kyle Connor,$7900,W,,,WPG,DAL - J.Oettinger,13.75,17.2,10.3,13.75,1.7,1F,1,6,0,1.6,4%,,,2.8,2.8,-106,5.5,89,-110,14.5,0.3,74%,36%,24%,91,,0%,0%,0%,1,0.48,0.72,1.2,20.65,3.49,3.28,4.44,0.74,0.15,0.54,3.82,15.22,16.01,11.04,0.03,0.01,2.99,0.77,1.01,0.76,0.01,0,0.44,0.71,0.26,0.03,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.96,47.98,49.08,47.66,47.31,2.78,0.03,2.86,0.02,,,,,,,,,,2025-10-09
82.22,Martin Necas,$6500,W,,,COL,UTA - K.Vejmelka,10.05,12.6,7.5,10.05,1.5,1F,1,9,0,-0.1,8%,,,3.8,2.9,-185,6.5,94,-162,10.9,-0.6,64%,26%,28%,88,22.8,33%,0%,33%,3,0.34,0.7,1.05,19.17,3.29,2.45,3.74,0.65,0.14,0.29,2.74,16.84,11.8,12.23,0.02,0.03,3.76,0.77,1,0.77,0,0,0.32,0.67,0.18,0.01,2.81,2,0,2,21.2,5.66,3,3,1,0.67,1,4,10,18,1,0,8.12,2,10,4,3,1,3,2,21.2,8.12,1,0,44.66,52.08,45.1,44.17,50.94,2.88,0.03,3.03,0.03,39,,48,,6,0.17,,,,2025-10-09
82.13,Mark Stone,$6600,W,,,VGK,@SJ - A.Nedeljkovic,9.3,11.7,6.9,9.3,1.4,2F,1,4,0,0,3%,,,3.9,2.7,-214,6.5,89,-185,10.5,-0.5,51%,23%,26%,91,15.8,33%,0%,33%,3,0.3,0.7,1,19.39,3.09,2.01,2.93,0.69,0.15,0.7,2.71,15.46,14.23,10.92,0.01,0.03,2.63,0.31,0.53,0.59,0,0,0.29,0.68,0.18,0.03,2.6,0,2,2,17.9,6.7,3,4,0.75,0,1,4,15,12,0,0,4.33,0,15,4,3,1,4,0,17.9,4.33,0,0,52.43,52.2,52.6,49.21,44.74,2.3,0.02,3.14,0.04,51,,39,,6,0,,,,2025-10-09
