Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Nathan MacKinnon (40347057),Nathan MacKinnon,40347057,C/UTIL,8500,UTA@COL 10/09/2025 09:00PM ET,COL,17.95
G,Thatcher Demko (40348395),Thatcher Demko,40348395,G,8500,CGY@VAN 10/09/2025 10:00PM ET,VAN,8.86
G,Kevin Lankinen (40348396),Kevin Lankinen,40348396,G,8500,CGY@VAN 10/09/2025 10:00PM ET,VAN,11.38
RW,David Pastrnak (40347349),David Pastrnak,40347349,W/UTIL,8400,CHI@BOS 10/09/2025 07:00PM ET,BOS,16.2
G,Adin Hill (40348397),Adin Hill,40348397,G,8400,VGK@SJS 10/09/2025 10:00PM ET,VGK,11.8
G,Akira Schmid (40348398),Akira Schmid,40348398,G,8400,VGK@SJS 10/09/2025 10:00PM ET,VGK,10.38
G,Scott Wedgewood (40348399),Scott Wedgewood,40348399,G,8300,UTA@COL 10/09/2025 09:00PM ET,COL,11.34
G,Trent Miner (40348400),Trent Miner,40348400,G,8300,UTA@COL 10/09/2025 09:00PM ET,COL,3.15
G,Sergei Bobrovsky (40348401),Sergei Bobrovsky,40348401,G,8300,PHI@FLA 10/09/2025 07:00PM ET,FLA,12.71
G,Daniil Tarasov (40348402),Daniil Tarasov,40348402,G,8300,PHI@FLA 10/09/2025 07:00PM ET,FLA,8.26
G,Jeremy Swayman (40348403),Jeremy Swayman,40348403,G,8200,CHI@BOS 10/09/2025 07:00PM ET,BOS,10.12
G,Joonas Korpisalo (40348404),Joonas Korpisalo,40348404,G,8200,CHI@BOS 10/09/2025 07:00PM ET,BOS,9.54
G,Andrei Vasilevskiy (40348405),Andrei Vasilevskiy,40348405,G,8200,OTT@TBL 10/09/2025 07:00PM ET,TBL,13.86
G,Jonas Johansson (40348406),Jonas Johansson,40348406,G,8200,OTT@TBL 10/09/2025 07:00PM ET,TBL,11.55
G,Frederik Andersen (40348408),Frederik Andersen,40348408,G,8100,NJD@CAR 10/09/2025 07:30PM ET,CAR,10.91
G,Pyotr Kochetkov (40348409),Pyotr Kochetkov,40348409,G,8100,NJD@CAR 10/09/2025 07:30PM ET,CAR,10.27
G,MacKenzie Blackwood (40348407),MacKenzie Blackwood,40348407,G,8100,UTA@COL 10/09/2025 09:00PM ET,COL,12.76
G,John Gibson (40348410),John Gibson,40348410,G,8100,MTL@DET 10/09/2025 07:00PM ET,DET,12.25
G,Cam Talbot (40348411),Cam Talbot,40348411,G,8100,MTL@DET 10/09/2025 07:00PM ET,DET,11.21
RW,Nikita Kucherov (40347351),Nikita Kucherov,40347351,W/UTIL,8100,OTT@TBL 10/09/2025 07:00PM ET,TBL,15.93
G,Joey Daccord (40348414),Joey Daccord,40348414,G,8000,ANA@SEA 10/09/2025 10:00PM ET,SEA,12.12
G,Philipp Grubauer (40348415),Philipp Grubauer,40348415,G,8000,ANA@SEA 10/09/2025 10:00PM ET,SEA,6.53
LW,Kirill Kaprizov (40347353),Kirill Kaprizov,40347353,W/UTIL,8000,MIN@STL 10/09/2025 08:00PM ET,MIN,16.88
G,Jordan Binnington (40348412),Jordan Binnington,40348412,G,8000,MIN@STL 10/09/2025 08:00PM ET,STL,11.02
G,Joel Hofer (40348413),Joel Hofer,40348413,G,8000,MIN@STL 10/09/2025 08:00PM ET,STL,10.97
G,Pheonix Copley (40348416),Pheonix Copley,40348416,G,8000,OTT@TBL 10/09/2025 07:00PM ET,TBL,0
G,Brandon Bussi (40348417),Brandon Bussi,40348417,G,7900,NJD@CAR 10/09/2025 07:30PM ET,CAR,0
G,Juuse Saros (40348420),Juuse Saros,40348420,G,7900,CBJ@NSH 10/09/2025 08:00PM ET,NSH,9.83
G,Justus Annunen (40348421),Justus Annunen,40348421,G,7900,CBJ@NSH 10/09/2025 08:00PM ET,NSH,7.8
G,Ilya Sorokin (40348418),Ilya Sorokin,40348418,G,7900,NYI@PIT 10/09/2025 07:00PM ET,NYI,12.51
G,David Rittich (40348419),David Rittich,40348419,G,7900,NYI@PIT 10/09/2025 07:00PM ET,NYI,7.94
LW,Kyle Connor (40347355),Kyle Connor,40347355,W/UTIL,7900,DAL@WPG 10/09/2025 08:00PM ET,WPG,14.34
G,Igor Shesterkin (40348423),Igor Shesterkin,40348423,G,7800,NYR@BUF 10/09/2025 07:00PM ET,NYR,12.3
G,Jonathan Quick (40348424),Jonathan Quick,40348424,G,7800,NYR@BUF 10/09/2025 07:00PM ET,NYR,10.75
G,Matt Murray (40348422),Matt Murray,40348422,G,7800,ANA@SEA 10/09/2025 10:00PM ET,SEA,5.97
C,Jack Eichel (40347059),Jack Eichel,40347059,C/UTIL,7800,VGK@SJS 10/09/2025 10:00PM ET,VGK,13.64
G,Jake Oettinger (40348425),Jake Oettinger,40348425,G,7800,DAL@WPG 10/09/2025 08:00PM ET,DAL,12.73
G,Casey DeSmith (40348426),Casey DeSmith,40348426,G,7800,DAL@WPG 10/09/2025 08:00PM ET,DAL,13.2
G,Semyon Varlamov (40348427),Semyon Varlamov,40348427,G,7700,NYI@PIT 10/09/2025 07:00PM ET,NYI,8.56
RW,Mikko Rantanen (40347357),Mikko Rantanen,40347357,W/UTIL,7700,DAL@WPG 10/09/2025 08:00PM ET,DAL,12.73
G,Alex Lyon (40348430),Alex Lyon,40348430,G,7600,NYR@BUF 10/09/2025 07:00PM ET,BUF,9.41
G,Colten Ellis (40348431),Colten Ellis,40348431,G,7600,NYR@BUF 10/09/2025 07:00PM ET,BUF,0
D,Cale Makar (40347921),Cale Makar,40347921,D/UTIL,7600,UTA@COL 10/09/2025 09:00PM ET,COL,15.09
G,Connor Hellebuyck (40348428),Connor Hellebuyck,40348428,G,7600,DAL@WPG 10/09/2025 08:00PM ET,WPG,13.9
G,Eric Comrie (40348429),Eric Comrie,40348429,G,7600,DAL@WPG 10/09/2025 08:00PM ET,WPG,11.29
LW,Artemi Panarin (40347359),Artemi Panarin,40347359,W/UTIL,7500,NYR@BUF 10/09/2025 07:00PM ET,NYR,12.74
C,Jack Hughes (40347061),Jack Hughes,40347061,C/UTIL,7500,NJD@CAR 10/09/2025 07:30PM ET,NJD,14.88
G,Elvis Merzlikins (40348432),Elvis Merzlikins,40348432,G,7500,CBJ@NSH 10/09/2025 08:00PM ET,CBJ,10.78
G,Jet Greaves (40348433),Jet Greaves,40348433,G,7500,CBJ@NSH 10/09/2025 08:00PM ET,CBJ,19.22
G,Tristan Jarry (40348434),Tristan Jarry,40348434,G,7500,NYI@PIT 10/09/2025 07:00PM ET,PIT,10.16
G,Arturs Silovs (40348435),Arturs Silovs,40348435,G,7500,NYI@PIT 10/09/2025 07:00PM ET,PIT,4.2
G,Ukko-Pekka Luukkonen (40348438),Ukko-Pekka Luukkonen,40348438,G,7400,NYR@BUF 10/09/2025 07:00PM ET,BUF,9.46
LW,Filip Forsberg (40347361),Filip Forsberg,40347361,W/UTIL,7400,CBJ@NSH 10/09/2025 08:00PM ET,NSH,13
D,Zach Werenski (40347923),Zach Werenski,40347923,D/UTIL,7400,CBJ@NSH 10/09/2025 08:00PM ET,CBJ,15.45
G,Lukas Dostal (40348436),Lukas Dostal,40348436,G,7400,ANA@SEA 10/09/2025 10:00PM ET,ANA,12.14
G,Petr Mrazek (40348437),Petr Mrazek,40348437,G,7400,ANA@SEA 10/09/2025 10:00PM ET,ANA,9.32
G,Filip Gustavsson (40348439),Filip Gustavsson,40348439,G,7400,MIN@STL 10/09/2025 08:00PM ET,MIN,14.05
G,Jesper Wallstedt (40348440),Jesper Wallstedt,40348440,G,7400,MIN@STL 10/09/2025 08:00PM ET,MIN,1.05
G,Jacob Markstrom (40348443),Jacob Markstrom,40348443,G,7300,NJD@CAR 10/09/2025 07:30PM ET,NJD,11.18
G,Jake Allen (40348444),Jake Allen,40348444,G,7300,NJD@CAR 10/09/2025 07:30PM ET,NJD,11.45
G,Sam Montembeault (40348441),Sam Montembeault,40348441,G,7300,MTL@DET 10/09/2025 07:00PM ET,MTL,11.32
G,Jakub Dobes (40348442),Jakub Dobes,40348442,G,7300,MTL@DET 10/09/2025 07:00PM ET,MTL,11.36
RW,Sam Reinhart (40347363),Sam Reinhart,40347363,W/UTIL,7300,PHI@FLA 10/09/2025 07:00PM ET,FLA,13.19
G,Joel Blomqvist (40348445),Joel Blomqvist,40348445,G,7300,NYI@PIT 10/09/2025 07:00PM ET,PIT,8.2
C,Macklin Celebrini (40347063),Macklin Celebrini,40347063,C/UTIL,7300,VGK@SJS 10/09/2025 10:00PM ET,SJS,12.63
G,Spencer Knight (40348446),Spencer Knight,40348446,G,7200,CHI@BOS 10/09/2025 07:00PM ET,CHI,11.17
G,Arvid Soderblom (40348447),Arvid Soderblom,40348447,G,7200,CHI@BOS 10/09/2025 07:00PM ET,CHI,10.85
RW,Tage Thompson (40347365),Tage Thompson,40347365,W/UTIL,7200,NYR@BUF 10/09/2025 07:00PM ET,BUF,13.25
D,Roman Josi (40347925),Roman Josi,40347925,D/UTIL,7200,CBJ@NSH 10/09/2025 08:00PM ET,NSH,12.23
C,Sidney Crosby (40347065),Sidney Crosby,40347065,C/UTIL,7200,NYI@PIT 10/09/2025 07:00PM ET,PIT,12.98
G,Linus Ullmark (40348448),Linus Ullmark,40348448,G,7200,OTT@TBL 10/09/2025 07:00PM ET,OTT,12.81
G,Leevi Merilainen (40348449),Leevi Merilainen,40348449,G,7200,OTT@TBL 10/09/2025 07:00PM ET,OTT,14.68
G,Karel Vejmelka (40348452),Karel Vejmelka,40348452,G,7100,UTA@COL 10/09/2025 09:00PM ET,UTA,10.9
G,Vitek Vanecek (40348453),Vitek Vanecek,40348453,G,7100,UTA@COL 10/09/2025 09:00PM ET,UTA,8.46
G,Samuel Ersson (40348450),Samuel Ersson,40348450,G,7100,PHI@FLA 10/09/2025 07:00PM ET,PHI,8.47
G,Dan Vladar (40348451),Dan Vladar,40348451,G,7100,PHI@FLA 10/09/2025 07:00PM ET,PHI,10.81
LW,Jake Guentzel (40347367),Jake Guentzel,40347367,W/UTIL,7100,OTT@TBL 10/09/2025 07:00PM ET,TBL,12.8
C,Mark Scheifele (40347067),Mark Scheifele,40347067,C/UTIL,7100,DAL@WPG 10/09/2025 08:00PM ET,WPG,11.7
G,Laurent Brossoit (40348454),Laurent Brossoit,40348454,G,7000,CHI@BOS 10/09/2025 07:00PM ET,CHI,0
RW,Travis Konecny (40347369),Travis Konecny,40347369,W/UTIL,7000,PHI@FLA 10/09/2025 07:00PM ET,PHI,10.51
G,Yaroslav Askarov (40348455),Yaroslav Askarov,40348455,G,7000,VGK@SJS 10/09/2025 10:00PM ET,SJS,10.04
G,Alex Nedeljkovic (40348456),Alex Nedeljkovic,40348456,G,7000,VGK@SJS 10/09/2025 10:00PM ET,SJS,10.42
C,Brayden Point (40347069),Brayden Point,40347069,C/UTIL,7000,OTT@TBL 10/09/2025 07:00PM ET,TBL,12.06
LW,Brady Tkachuk (40347371),Brady Tkachuk,40347371,W/UTIL,7000,OTT@TBL 10/09/2025 07:00PM ET,OTT,13.44
G,Anson Thornton (40348459),Anson Thornton,40348459,G,6900,UTA@COL 10/09/2025 09:00PM ET,UTA,0
LW,Cole Caufield (40347373),Cole Caufield,40347373,W/UTIL,6900,MTL@DET 10/09/2025 07:00PM ET,MTL,11.41
RW,Mitch Marner (40347375),Mitch Marner,40347375,W/UTIL,6900,VGK@SJS 10/09/2025 10:00PM ET,VGK,11.68
C,Robert Thomas (40347071),Robert Thomas,40347071,C/UTIL,6900,MIN@STL 10/09/2025 08:00PM ET,STL,11.26
G,Dustin Wolf (40348457),Dustin Wolf,40348457,G,6900,CGY@VAN 10/09/2025 10:00PM ET,CGY,13.7
G,Devin Cooley (40348458),Devin Cooley,40348458,G,6900,CGY@VAN 10/09/2025 10:00PM ET,CGY,0
G,Carey Price (40348460),Carey Price,40348460,G,6800,VGK@SJS 10/09/2025 10:00PM ET,SJS,0
RW,Matt Boldy (40347377),Matt Boldy,40347377,W/UTIL,6800,MIN@STL 10/09/2025 08:00PM ET,MIN,13.08
C,Elias Pettersson (40347073),Elias Pettersson,40347073,C/UTIL,6800,CGY@VAN 10/09/2025 10:00PM ET,VAN,9.09
D,Quinn Hughes (40347927),Quinn Hughes,40347927,D/UTIL,6800,CGY@VAN 10/09/2025 10:00PM ET,VAN,12.9
C,J.T. Miller (40347075),J.T. Miller,40347075,C/UTIL,6700,NYR@BUF 10/09/2025 07:00PM ET,NYR,10.24
LW,Timo Meier (40347381),Timo Meier,40347381,W/UTIL,6700,NJD@CAR 10/09/2025 07:30PM ET,NJD,11.11
LW,Carter Verhaeghe (40347383),Carter Verhaeghe,40347383,W/UTIL,6700,PHI@FLA 10/09/2025 07:00PM ET,FLA,9.88
RW,Kirill Marchenko (40347379),Kirill Marchenko,40347379,W/UTIL,6700,CBJ@NSH 10/09/2025 08:00PM ET,CBJ,11.41
D,Josh Morrissey (40347929),Josh Morrissey,40347929,D/UTIL,6700,DAL@WPG 10/09/2025 08:00PM ET,WPG,9.99
D,Rasmus Dahlin (40347931),Rasmus Dahlin,40347931,D/UTIL,6600,NYR@BUF 10/09/2025 07:00PM ET,BUF,12.64
C,Nico Hischier (40347077),Nico Hischier,40347077,C/UTIL,6600,NJD@CAR 10/09/2025 07:30PM ET,NJD,12.23
RW,Jesper Bratt (40347385),Jesper Bratt,40347385,W/UTIL,6600,NJD@CAR 10/09/2025 07:30PM ET,NJD,11.21
RW,Mark Stone (40347387),Mark Stone,40347387,W/UTIL,6600,VGK@SJS 10/09/2025 10:00PM ET,VGK,10.44
RW,Mika Zibanejad (40347395),Mika Zibanejad,40347395,W/UTIL,6500,NYR@BUF 10/09/2025 07:00PM ET,NYR,9.24
D,Adam Fox (40347933),Adam Fox,40347933,D/UTIL,6500,NYR@BUF 10/09/2025 07:00PM ET,NYR,10.2
G,Alexandar Georgiev (40348462),Alexandar Georgiev,40348462,G,6500,NYR@BUF 10/09/2025 07:00PM ET,BUF,6.96
RW,Martin Necas (40347389),Martin Necas,40347389,W/UTIL,6500,UTA@COL 10/09/2025 09:00PM ET,COL,10.82
LW,Clayton Keller (40347391),Clayton Keller,40347391,W/UTIL,6500,UTA@COL 10/09/2025 09:00PM ET,UTA,12.13
C,Dylan Larkin (40347079),Dylan Larkin,40347079,C/UTIL,6500,MTL@DET 10/09/2025 07:00PM ET,DET,11.01
RW,Bryan Rust (40347393),Bryan Rust,40347393,W/UTIL,6500,NYI@PIT 10/09/2025 07:00PM ET,PIT,12.03
G,Ville Husso (40348461),Ville Husso,40348461,G,6500,ANA@SEA 10/09/2025 10:00PM ET,ANA,8.22
RW,Alex Tuch (40347401),Alex Tuch,40347401,W/UTIL,6400,NYR@BUF 10/09/2025 07:00PM ET,BUF,12.35
RW,Matvei Michkov (40347399),Matvei Michkov,40347399,W/UTIL,6400,PHI@FLA 10/09/2025 07:00PM ET,PHI,9.76
C,Tomas Hertl (40347081),Tomas Hertl,40347081,C/UTIL,6400,VGK@SJS 10/09/2025 10:00PM ET,VGK,10.66
RW,Jordan Kyrou (40347397),Jordan Kyrou,40347397,W/UTIL,6400,MIN@STL 10/09/2025 08:00PM ET,STL,11.25
D,MacKenzie Weegar (40347935),MacKenzie Weegar,40347935,D/UTIL,6400,CGY@VAN 10/09/2025 10:00PM ET,CGY,11.34
RW,Lucas Raymond (40347407),Lucas Raymond,40347407,W/UTIL,6300,MTL@DET 10/09/2025 07:00PM ET,DET,10.51
RW,Alex DeBrincat (40347409),Alex DeBrincat,40347409,W/UTIL,6300,MTL@DET 10/09/2025 07:00PM ET,DET,11.66
D,Noah Dobson (40347937),Noah Dobson,40347937,D/UTIL,6300,MTL@DET 10/09/2025 07:00PM ET,MTL,11.13
C,Sam Bennett (40347083),Sam Bennett,40347083,C/UTIL,6300,PHI@FLA 10/09/2025 07:00PM ET,FLA,11.2
RW,Brad Marchand (40347405),Brad Marchand,40347405,W/UTIL,6300,PHI@FLA 10/09/2025 07:00PM ET,FLA,9.91
LW,Brandon Hagel (40347403),Brandon Hagel,40347403,W/UTIL,6300,OTT@TBL 10/09/2025 07:00PM ET,TBL,12.77
RW,Seth Jarvis (40347411),Seth Jarvis,40347411,W/UTIL,6200,NJD@CAR 10/09/2025 07:30PM ET,CAR,12.14
C,Bo Horvat (40347085),Bo Horvat,40347085,C/UTIL,6200,NYI@PIT 10/09/2025 07:00PM ET,NYI,10.46
LW,Rickard Rakell (40347413),Rickard Rakell,40347413,W/UTIL,6200,NYI@PIT 10/09/2025 07:00PM ET,PIT,11.79
D,Victor Hedman (40347939),Victor Hedman,40347939,D/UTIL,6200,OTT@TBL 10/09/2025 07:00PM ET,TBL,11.53
LW,Jason Robertson (40347415),Jason Robertson,40347415,W/UTIL,6200,DAL@WPG 10/09/2025 08:00PM ET,DAL,11.43
D,Dougie Hamilton (40347941),Dougie Hamilton,40347941,D/UTIL,6100,NJD@CAR 10/09/2025 07:30PM ET,NJD,10.47
LW,Dylan Guenther (40347419),Dylan Guenther,40347419,W/UTIL,6100,UTA@COL 10/09/2025 09:00PM ET,UTA,11.52
C,Nick Suzuki (40347087),Nick Suzuki,40347087,C/UTIL,6100,MTL@DET 10/09/2025 07:00PM ET,MTL,11.46
LW,Owen Tippett (40347417),Owen Tippett,40347417,W/UTIL,6100,PHI@FLA 10/09/2025 07:00PM ET,PHI,9.11
C,Connor Bedard (40347089),Connor Bedard,40347089,C/UTIL,6000,CHI@BOS 10/09/2025 07:00PM ET,CHI,9.77
LW,Steven Stamkos (40347421),Steven Stamkos,40347421,W/UTIL,6000,CBJ@NSH 10/09/2025 08:00PM ET,NSH,8.86
D,Brandon Montour (40347945),Brandon Montour,40347945,D/UTIL,6000,ANA@SEA 10/09/2025 10:00PM ET,SEA,10.34
RW,Tyler Toffoli (40347423),Tyler Toffoli,40347423,W/UTIL,6000,VGK@SJS 10/09/2025 10:00PM ET,SJS,10.34
D,Shea Theodore (40347943),Shea Theodore,40347943,D/UTIL,6000,VGK@SJS 10/09/2025 10:00PM ET,VGK,9.66
LW,Morgan Geekie (40347425),Morgan Geekie,40347425,W/UTIL,5900,CHI@BOS 10/09/2025 07:00PM ET,BOS,8.77
C,Sebastian Aho (40347093),Sebastian Aho,40347093,C/UTIL,5900,NJD@CAR 10/09/2025 07:30PM ET,CAR,11.4
RW,Pavel Dorofeyev (40347427),Pavel Dorofeyev,40347427,W/UTIL,5900,VGK@SJS 10/09/2025 10:00PM ET,VGK,10.44
D,Jake Sanderson (40347947),Jake Sanderson,40347947,D/UTIL,5900,OTT@TBL 10/09/2025 07:00PM ET,OTT,11.46
C,Nazem Kadri (40347091),Nazem Kadri,40347091,C/UTIL,5900,CGY@VAN 10/09/2025 10:00PM ET,CGY,12.02
C,Vincent Trocheck (40347097),Vincent Trocheck,40347097,C/UTIL,5800,NYR@BUF 10/09/2025 07:00PM ET,NYR,10.38
RW,Valeri Nichushkin (40347429),Valeri Nichushkin,40347429,W/UTIL,5800,UTA@COL 10/09/2025 09:00PM ET,COL,10.81
D,Mikhail Sergachev (40347949),Mikhail Sergachev,40347949,D/UTIL,5800,UTA@COL 10/09/2025 09:00PM ET,UTA,10.06
LW,Patrick Kane (40347433),Patrick Kane,40347433,W/UTIL,5800,MTL@DET 10/09/2025 07:00PM ET,DET,9.66
D,Moritz Seider (40347951),Moritz Seider,40347951,D/UTIL,5800,MTL@DET 10/09/2025 07:00PM ET,DET,10.22
C,Mathew Barzal (40347095),Mathew Barzal,40347095,C/UTIL,5800,NYI@PIT 10/09/2025 07:00PM ET,NYI,9.37
LW,Jonathan Huberdeau (40347431),Jonathan Huberdeau,40347431,W/UTIL,5800,CGY@VAN 10/09/2025 10:00PM ET,CGY,9.46
C,Adam Fantilli (40347099),Adam Fantilli,40347099,C/UTIL,5700,CBJ@NSH 10/09/2025 08:00PM ET,CBJ,9.6
D,Erik Karlsson (40347955),Erik Karlsson,40347955,D/UTIL,5700,NYI@PIT 10/09/2025 07:00PM ET,PIT,9.27
LW,Jared McCann (40347439),Jared McCann,40347439,W/UTIL,5700,ANA@SEA 10/09/2025 10:00PM ET,SEA,9.94
D,Vince Dunn (40347953),Vince Dunn,40347953,D/UTIL,5700,ANA@SEA 10/09/2025 10:00PM ET,SEA,9.22
LW,Dylan Holloway (40347435),Dylan Holloway,40347435,W/UTIL,5700,MIN@STL 10/09/2025 08:00PM ET,STL,10.13
C,Wyatt Johnston (40347101),Wyatt Johnston,40347101,C/UTIL,5700,DAL@WPG 10/09/2025 08:00PM ET,DAL,10.1
RW,Gabriel Vilardi (40347437),Gabriel Vilardi,40347437,W/UTIL,5700,DAL@WPG 10/09/2025 08:00PM ET,WPG,9.62
LW,Artturi Lehkonen (40347441),Artturi Lehkonen,40347441,W/UTIL,5600,UTA@COL 10/09/2025 09:00PM ET,COL,9.17
D,Travis Sanheim (40347957),Travis Sanheim,40347957,D/UTIL,5600,PHI@FLA 10/09/2025 07:00PM ET,PHI,8.66
D,Seth Jones (40347959),Seth Jones,40347959,D/UTIL,5600,PHI@FLA 10/09/2025 07:00PM ET,FLA,8.8
C,Sean Monahan (40347103),Sean Monahan,40347103,C/UTIL,5600,CBJ@NSH 10/09/2025 08:00PM ET,CBJ,11.91
LW,Boone Jenner (40347443),Boone Jenner,40347443,W/UTIL,5600,CBJ@NSH 10/09/2025 08:00PM ET,CBJ,10.94
LW,Pavel Buchnevich (40347445),Pavel Buchnevich,40347445,W/UTIL,5600,MIN@STL 10/09/2025 08:00PM ET,STL,8.73
C,Tim Stuetzle (40347105),Tim Stuetzle,40347105,C/UTIL,5600,OTT@TBL 10/09/2025 07:00PM ET,OTT,9.94
C,Josh Norris (40347107),Josh Norris,40347107,C/UTIL,5500,NYR@BUF 10/09/2025 07:00PM ET,BUF,8.51
LW,Nikolaj Ehlers (40347449),Nikolaj Ehlers,40347449,W/UTIL,5500,NJD@CAR 10/09/2025 07:30PM ET,CAR,11.42
D,Mike Matheson (40347961),Mike Matheson,40347961,D/UTIL,5500,MTL@DET 10/09/2025 07:00PM ET,MTL,8.72
RW,Jonathan Marchessault (40347451),Jonathan Marchessault,40347451,W/UTIL,5500,CBJ@NSH 10/09/2025 08:00PM ET,NSH,9.62
LW,Frank Vatrano (40347447),Frank Vatrano,40347447,W/UTIL,5500,ANA@SEA 10/09/2025 10:00PM ET,ANA,9.84
C,Joel Eriksson Ek (40347109),Joel Eriksson Ek,40347109,C/UTIL,5500,MIN@STL 10/09/2025 08:00PM ET,MIN,10.68
D,Miro Heiskanen (40347963),Miro Heiskanen,40347963,D/UTIL,5500,DAL@WPG 10/09/2025 08:00PM ET,DAL,8.93
LW,Andrei Svechnikov (40347455),Andrei Svechnikov,40347455,W/UTIL,5400,NJD@CAR 10/09/2025 07:30PM ET,CAR,9.38
LW,Kent Johnson (40347453),Kent Johnson,40347453,W/UTIL,5400,CBJ@NSH 10/09/2025 08:00PM ET,CBJ,9.09
LW,Anders Lee (40347457),Anders Lee,40347457,W/UTIL,5400,NYI@PIT 10/09/2025 07:00PM ET,NYI,10.18
C,William Karlsson (40347111),William Karlsson,40347111,C/UTIL,5400,VGK@SJS 10/09/2025 10:00PM ET,VGK,7.85
D,Noah Hanifin (40347967),Noah Hanifin,40347967,D/UTIL,5400,VGK@SJS 10/09/2025 10:00PM ET,VGK,8.17
D,Colton Parayko (40347965),Colton Parayko,40347965,D/UTIL,5400,MIN@STL 10/09/2025 08:00PM ET,STL,11.39
C,Roope Hintz (40347113),Roope Hintz,40347113,C/UTIL,5400,DAL@WPG 10/09/2025 08:00PM ET,DAL,10.13
